Sourah Arabic,Sourah Number,Verse Number,Verse Diac,Verse,Label
سورة الاسراء,17,44,تُسَبِّحُ لَهُ ٱلسَّمَٰوَٰتُ ٱلسَّبۡعُ وَٱلۡأَرۡضُ وَمَن فِيهِنَّۚ وَإِن مِّن شَيۡءٍ إِلَّا يُسَبِّحُ بِحَمۡدِهِۦ وَلَٰكِن لَّا تَفۡقَهُونَ تَسۡبِيحَهُمۡۚ إِنَّهُۥ كَانَ حَلِيمًا غَفُورٗا,تسبح له السمٰوٰت السبع والارض ومن فيهن وان من شيء الا يسبح بحمده ولٰكن لا تفقهون تسبيحهم انه كان حليما غفورا,joy
سورة الانفال,8,20,يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوٓاْ أَطِيعُواْ ٱللَّهَ وَرَسُولَهُۥ وَلَا تَوَلَّوۡاْ عَنۡهُ وَأَنتُمۡ تَسۡمَعُونَ,يٰايها الذين ءامنوا اطيعوا الله ورسوله ولا تولوا عنه وانتم تسمعون,fear
سورة الانشقاق,84,8,فَسَوۡفَ يُحَاسَبُ حِسَابٗا يَسِيرٗا,فسوف يحاسب حسابا يسيرا,joy
سورة الشعراء,26,82,وَٱلَّذِيٓ أَطۡمَعُ أَن يَغۡفِرَ لِي خَطِيٓـَٔتِي يَوۡمَ ٱلدِّينِ,والذي اطمع ان يغفر لي خطيتي يوم الدين,fear
سورة الرحمٰن,55,15,وَخَلَقَ ٱلۡجَآنَّ مِن مَّارِجٖ مِّن نَّارٖ,وخلق الجان من مارج من نار,fear
سورة يوسف,12,92,قَالَ لَا تَثۡرِيبَ عَلَيۡكُمُ ٱلۡيَوۡمَۖ يَغۡفِرُ ٱللَّهُ لَكُمۡۖ وَهُوَ أَرۡحَمُ ٱلرَّٰحِمِينَ,قال لا تثريب عليكم اليوم يغفر الله لكم وهو ارحم الرٰحمين,joy
سورة الانبياء,21,32,وَجَعَلۡنَا ٱلسَّمَآءَ سَقۡفٗا مَّحۡفُوظٗاۖ وَهُمۡ عَنۡ ءَايَٰتِهَا مُعۡرِضُونَ,وجعلنا السماء سقفا محفوظا وهم عن ءايٰتها معرضون,joy
سورة الجاثية,45,3,إِنَّ فِي ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ لَأٓيَٰتٖ لِّلۡمُؤۡمِنِينَ,ان في السمٰوٰت والارض لايٰت للمؤمنين,fear
سورة النور,24,36,فِي بُيُوتٍ أَذِنَ ٱللَّهُ أَن تُرۡفَعَ وَيُذۡكَرَ فِيهَا ٱسۡمُهُۥ يُسَبِّحُ لَهُۥ فِيهَا بِٱلۡغُدُوِّ وَٱلۡأٓصَالِ,في بيوت اذن الله ان ترفع ويذكر فيها اسمه يسبح له فيها بالغدو والاصال,joy
سورة طه,20,84,قَالَ هُمۡ أُوْلَآءِ عَلَىٰٓ أَثَرِي وَعَجِلۡتُ إِلَيۡكَ رَبِّ لِتَرۡضَىٰ,قال هم اولاء علىٰ اثري وعجلت اليك رب لترضىٰ,sadness
سورة المائدة,5,87,يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ لَا تُحَرِّمُواْ طَيِّبَٰتِ مَآ أَحَلَّ ٱللَّهُ لَكُمۡ وَلَا تَعۡتَدُوٓاْۚ إِنَّ ٱللَّهَ لَا يُحِبُّ ٱلۡمُعۡتَدِينَ,يٰايها الذين ءامنوا لا تحرموا طيبٰت ما احل الله لكم ولا تعتدوا ان الله لا يحب المعتدين,joy
سورة غافر,40,40,مَنۡ عَمِلَ سَيِّئَةٗ فَلَا يُجۡزَىٰٓ إِلَّا مِثۡلَهَاۖ وَمَنۡ عَمِلَ صَٰلِحٗا مِّن ذَكَرٍ أَوۡ أُنثَىٰ وَهُوَ مُؤۡمِنٞ فَأُوْلَٰٓئِكَ يَدۡخُلُونَ ٱلۡجَنَّةَ يُرۡزَقُونَ فِيهَا بِغَيۡرِ حِسَابٖ,من عمل سيئة فلا يجزىٰ الا مثلها ومن عمل صٰلحا من ذكر او انثىٰ وهو مؤمن فاولٰئك يدخلون الجنة يرزقون فيها بغير حساب,joy
سورة الشعراء,26,8,إِنَّ فِي ذَٰلِكَ لَأٓيَةٗۖ وَمَا كَانَ أَكۡثَرُهُم مُّؤۡمِنِينَ,ان في ذٰلك لاية وما كان اكثرهم مؤمنين,anger
سورة الشعراء,26,201,لَا يُؤۡمِنُونَ بِهِۦ حَتَّىٰ يَرَوُاْ ٱلۡعَذَابَ ٱلۡأَلِيمَ,لا يؤمنون به حتىٰ يروا العذاب الاليم,fear
سورة مريم,19,88,وَقَالُواْ ٱتَّخَذَ ٱلرَّحۡمَٰنُ وَلَدٗا,وقالوا اتخذ الرحمٰن ولدا,anger
سورة البروج,85,10,إِنَّ ٱلَّذِينَ فَتَنُواْ ٱلۡمُؤۡمِنِينَ وَٱلۡمُؤۡمِنَٰتِ ثُمَّ لَمۡ يَتُوبُواْ فَلَهُمۡ عَذَابُ جَهَنَّمَ وَلَهُمۡ عَذَابُ ٱلۡحَرِيقِ,ان الذين فتنوا المؤمنين والمؤمنٰت ثم لم يتوبوا فلهم عذاب جهنم ولهم عذاب الحريق,anger
سورة النساء,4,27,وَٱللَّهُ يُرِيدُ أَن يَتُوبَ عَلَيۡكُمۡ وَيُرِيدُ ٱلَّذِينَ يَتَّبِعُونَ ٱلشَّهَوَٰتِ أَن تَمِيلُواْ مَيۡلًا عَظِيمٗا,والله يريد ان يتوب عليكم ويريد الذين يتبعون الشهوٰت ان تميلوا ميلا عظيما,fear
سورة المؤمنون,23,40,قَالَ عَمَّا قَلِيلٖ لَّيُصۡبِحُنَّ نَٰدِمِينَ,قال عما قليل ليصبحن نٰدمين,sadness
سورة المرسلات,77,46,كُلُواْ وَتَمَتَّعُواْ قَلِيلًا إِنَّكُم مُّجۡرِمُونَ,كلوا وتمتعوا قليلا انكم مجرمون,sadness
سورة العلق,96,15,كَلَّا لَئِن لَّمۡ يَنتَهِ لَنَسۡفَعَۢا بِٱلنَّاصِيَةِ,كلا لئن لم ينته لنسفعا بالناصية,fear
سورة النازعات,79,14,فَإِذَا هُم بِٱلسَّاهِرَةِ,فاذا هم بالساهرة,fear
سورة الانعام,6,63,قُلۡ مَن يُنَجِّيكُم مِّن ظُلُمَٰتِ ٱلۡبَرِّ وَٱلۡبَحۡرِ تَدۡعُونَهُۥ تَضَرُّعٗا وَخُفۡيَةٗ لَّئِنۡ أَنجَىٰنَا مِنۡ هَٰذِهِۦ لَنَكُونَنَّ مِنَ ٱلشَّٰكِرِينَ,قل من ينجيكم من ظلمٰت البر والبحر تدعونه تضرعا وخفية لئن انجىٰنا من هٰذه لنكونن من الشٰكرين,sadness
سورة الاعراف,7,110,يُرِيدُ أَن يُخۡرِجَكُم مِّنۡ أَرۡضِكُمۡۖ فَمَاذَا تَأۡمُرُونَ,يريد ان يخرجكم من ارضكم فماذا تامرون,fear
سورة فصلت,41,11,ثُمَّ ٱسۡتَوَىٰٓ إِلَى ٱلسَّمَآءِ وَهِيَ دُخَانٞ فَقَالَ لَهَا وَلِلۡأَرۡضِ ٱئۡتِيَا طَوۡعًا أَوۡ كَرۡهٗا قَالَتَآ أَتَيۡنَا طَآئِعِينَ,ثم استوىٰ الى السماء وهي دخان فقال لها وللارض ائتيا طوعا او كرها قالتا اتينا طائعين,fear
سورة غافر,40,60,وَقَالَ رَبُّكُمُ ٱدۡعُونِيٓ أَسۡتَجِبۡ لَكُمۡۚ إِنَّ ٱلَّذِينَ يَسۡتَكۡبِرُونَ عَنۡ عِبَادَتِي سَيَدۡخُلُونَ جَهَنَّمَ دَاخِرِينَ,وقال ربكم ادعوني استجب لكم ان الذين يستكبرون عن عبادتي سيدخلون جهنم داخرين,fear
سورة القمر,54,19,إِنَّآ أَرۡسَلۡنَا عَلَيۡهِمۡ رِيحٗا صَرۡصَرٗا فِي يَوۡمِ نَحۡسٖ مُّسۡتَمِرّٖ,انا ارسلنا عليهم ريحا صرصرا في يوم نحس مستمر,fear
سورة المطففين,83,6,يَوۡمَ يَقُومُ ٱلنَّاسُ لِرَبِّ ٱلۡعَٰلَمِينَ,يوم يقوم الناس لرب العٰلمين,fear
سورة طه,20,14,إِنَّنِيٓ أَنَا ٱللَّهُ لَآ إِلَٰهَ إِلَّآ أَنَا۠ فَٱعۡبُدۡنِي وَأَقِمِ ٱلصَّلَوٰةَ لِذِكۡرِيٓ,انني انا الله لا الٰه الا انا فاعبدني واقم الصلوٰة لذكري,joy
سورة القيامة,75,8,وَخَسَفَ ٱلۡقَمَرُ,وخسف القمر,fear
سورة القلم,68,43,خَٰشِعَةً أَبۡصَٰرُهُمۡ تَرۡهَقُهُمۡ ذِلَّةٞۖ وَقَدۡ كَانُواْ يُدۡعَوۡنَ إِلَى ٱلسُّجُودِ وَهُمۡ سَٰلِمُونَ,خٰشعة ابصٰرهم ترهقهم ذلة وقد كانوا يدعون الى السجود وهم سٰلمون,fear
سورة النور,24,35,۞ٱللَّهُ نُورُ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِۚ مَثَلُ نُورِهِۦ كَمِشۡكَوٰةٖ فِيهَا مِصۡبَاحٌۖ ٱلۡمِصۡبَاحُ فِي زُجَاجَةٍۖ ٱلزُّجَاجَةُ كَأَنَّهَا كَوۡكَبٞ دُرِّيّٞ يُوقَدُ مِن شَجَرَةٖ مُّبَٰرَكَةٖ زَيۡتُونَةٖ لَّا شَرۡقِيَّةٖ وَلَا غَرۡبِيَّةٖ يَكَادُ زَيۡتُهَا يُضِيٓءُ وَلَوۡ لَمۡ تَمۡسَسۡهُ نَارٞۚ نُّورٌ عَلَىٰ نُورٖۚ يَهۡدِي ٱللَّهُ لِنُورِهِۦ مَن يَشَآءُۚ وَيَضۡرِبُ ٱللَّهُ ٱلۡأَمۡثَٰلَ لِلنَّاسِۗ وَٱللَّهُ بِكُلِّ شَيۡءٍ عَلِيمٞ,الله نور السمٰوٰت والارض مثل نوره كمشكوٰة فيها مصباح المصباح في زجاجة الزجاجة كانها كوكب دري يوقد من شجرة مبٰركة زيتونة لا شرقية ولا غربية يكاد زيتها يضيء ولو لم تمسسه نار نور علىٰ نور يهدي الله لنوره من يشاء ويضرب الله الامثٰل للناس والله بكل شيء عليم,joy
سورة الانبياء,21,92,إِنَّ هَٰذِهِۦٓ أُمَّتُكُمۡ أُمَّةٗ وَٰحِدَةٗ وَأَنَا۠ رَبُّكُمۡ فَٱعۡبُدُونِ,ان هٰذه امتكم امة وٰحدة وانا ربكم فاعبدون,joy
سورة غافر,40,6,وَكَذَٰلِكَ حَقَّتۡ كَلِمَتُ رَبِّكَ عَلَى ٱلَّذِينَ كَفَرُوٓاْ أَنَّهُمۡ أَصۡحَٰبُ ٱلنَّارِ,وكذٰلك حقت كلمت ربك على الذين كفروا انهم اصحٰب النار,anger
سورة الانفطار,82,16,وَمَا هُمۡ عَنۡهَا بِغَآئِبِينَ,وما هم عنها بغائبين,fear
سورة الاعراف,7,32,قُلۡ مَنۡ حَرَّمَ زِينَةَ ٱللَّهِ ٱلَّتِيٓ أَخۡرَجَ لِعِبَادِهِۦ وَٱلطَّيِّبَٰتِ مِنَ ٱلرِّزۡقِۚ قُلۡ هِيَ لِلَّذِينَ ءَامَنُواْ فِي ٱلۡحَيَوٰةِ ٱلدُّنۡيَا خَالِصَةٗ يَوۡمَ ٱلۡقِيَٰمَةِۗ كَذَٰلِكَ نُفَصِّلُ ٱلۡأٓيَٰتِ لِقَوۡمٖ يَعۡلَمُونَ,قل من حرم زينة الله التي اخرج لعباده والطيبٰت من الرزق قل هي للذين ءامنوا في الحيوٰة الدنيا خالصة يوم القيٰمة كذٰلك نفصل الايٰت لقوم يعلمون,anger
سورة المدثر,74,48,فَمَا تَنفَعُهُمۡ شَفَٰعَةُ ٱلشَّٰفِعِينَ,فما تنفعهم شفٰعة الشٰفعين,fear
سورة يونس,10,82,وَيُحِقُّ ٱللَّهُ ٱلۡحَقَّ بِكَلِمَٰتِهِۦ وَلَوۡ كَرِهَ ٱلۡمُجۡرِمُونَ,ويحق الله الحق بكلمٰته ولو كره المجرمون,fear
سورة النازعات,79,20,فَأَرَىٰهُ ٱلۡأٓيَةَ ٱلۡكُبۡرَىٰ,فارىٰه الاية الكبرىٰ,sadness
سورة الاسراء,17,10,وَأَنَّ ٱلَّذِينَ لَا يُؤۡمِنُونَ بِٱلۡأٓخِرَةِ أَعۡتَدۡنَا لَهُمۡ عَذَابًا أَلِيمٗا,وان الذين لا يؤمنون بالاخرة اعتدنا لهم عذابا اليما,sadness
سورة الطارق,86,8,إِنَّهُۥ عَلَىٰ رَجۡعِهِۦ لَقَادِرٞ,انه علىٰ رجعه لقادر,fear
سورة النازعات,79,13,فَإِنَّمَا هِيَ زَجۡرَةٞ وَٰحِدَةٞ,فانما هي زجرة وٰحدة,fear
سورة سبا,34,28,وَمَآ أَرۡسَلۡنَٰكَ إِلَّا كَآفَّةٗ لِّلنَّاسِ بَشِيرٗا وَنَذِيرٗا وَلَٰكِنَّ أَكۡثَرَ ٱلنَّاسِ لَا يَعۡلَمُونَ,وما ارسلنٰك الا كافة للناس بشيرا ونذيرا ولٰكن اكثر الناس لا يعلمون,anger
سورة الرعد,13,43,وَيَقُولُ ٱلَّذِينَ كَفَرُواْ لَسۡتَ مُرۡسَلٗاۚ قُلۡ كَفَىٰ بِٱللَّهِ شَهِيدَۢا بَيۡنِي وَبَيۡنَكُمۡ وَمَنۡ عِندَهُۥ عِلۡمُ ٱلۡكِتَٰبِ,ويقول الذين كفروا لست مرسلا قل كفىٰ بالله شهيدا بيني وبينكم ومن عنده علم الكتٰب,fear
سورة القصص,28,67,فَأَمَّا مَن تَابَ وَءَامَنَ وَعَمِلَ صَٰلِحٗا فَعَسَىٰٓ أَن يَكُونَ مِنَ ٱلۡمُفۡلِحِينَ,فاما من تاب وءامن وعمل صٰلحا فعسىٰ ان يكون من المفلحين,joy
سورة المزمل,73,8,وَٱذۡكُرِ ٱسۡمَ رَبِّكَ وَتَبَتَّلۡ إِلَيۡهِ تَبۡتِيلٗا,واذكر اسم ربك وتبتل اليه تبتيلا,joy
سورة النجم,53,24,أَمۡ لِلۡإِنسَٰنِ مَا تَمَنَّىٰ,ام للانسٰن ما تمنىٰ,fear
سورة الصافات,37,27,وَأَقۡبَلَ بَعۡضُهُمۡ عَلَىٰ بَعۡضٖ يَتَسَآءَلُونَ,واقبل بعضهم علىٰ بعض يتساءلون,joy
سورة الانبياء,21,67,أُفّٖ لَّكُمۡ وَلِمَا تَعۡبُدُونَ مِن دُونِ ٱللَّهِۚ أَفَلَا تَعۡقِلُونَ,اف لكم ولما تعبدون من دون الله افلا تعقلون,anger
سورة الملك,67,8,تَكَادُ تَمَيَّزُ مِنَ ٱلۡغَيۡظِۖ كُلَّمَآ أُلۡقِيَ فِيهَا فَوۡجٞ سَأَلَهُمۡ خَزَنَتُهَآ أَلَمۡ يَأۡتِكُمۡ نَذِيرٞ,تكاد تميز من الغيظ كلما القي فيها فوج سالهم خزنتها الم ياتكم نذير,fear
سورة يوسف,12,13,قَالَ إِنِّي لَيَحۡزُنُنِيٓ أَن تَذۡهَبُواْ بِهِۦ وَأَخَافُ أَن يَأۡكُلَهُ ٱلذِّئۡبُ وَأَنتُمۡ عَنۡهُ غَٰفِلُونَ,قال اني ليحزنني ان تذهبوا به واخاف ان ياكله الذئب وانتم عنه غٰفلون,sadness
سورة سبا,34,49,قُلۡ جَآءَ ٱلۡحَقُّ وَمَا يُبۡدِئُ ٱلۡبَٰطِلُ وَمَا يُعِيدُ,قل جاء الحق وما يبدئ البٰطل وما يعيد,fear
سورة الحجرات,49,5,وَلَوۡ أَنَّهُمۡ صَبَرُواْ حَتَّىٰ تَخۡرُجَ إِلَيۡهِمۡ لَكَانَ خَيۡرٗا لَّهُمۡۚ وَٱللَّهُ غَفُورٞ رَّحِيمٞ,ولو انهم صبروا حتىٰ تخرج اليهم لكان خيرا لهم والله غفور رحيم,sadness
سورة النجم,53,3,وَمَا يَنطِقُ عَنِ ٱلۡهَوَىٰٓ,وما ينطق عن الهوىٰ,anger
سورة يوسف,12,12,أَرۡسِلۡهُ مَعَنَا غَدٗا يَرۡتَعۡ وَيَلۡعَبۡ وَإِنَّا لَهُۥ لَحَٰفِظُونَ,ارسله معنا غدا يرتع ويلعب وانا له لحٰفظون,sadness
سورة نوح,71,11,يُرۡسِلِ ٱلسَّمَآءَ عَلَيۡكُم مِّدۡرَارٗا,يرسل السماء عليكم مدرارا,joy
سورة الشرح,94,1,أَلَمۡ نَشۡرَحۡ لَكَ صَدۡرَكَ,الم نشرح لك صدرك,joy
سورة غافر,40,62,ذَٰلِكُمُ ٱللَّهُ رَبُّكُمۡ خَٰلِقُ كُلِّ شَيۡءٖ لَّآ إِلَٰهَ إِلَّا هُوَۖ فَأَنَّىٰ تُؤۡفَكُونَ,ذٰلكم الله ربكم خٰلق كل شيء لا الٰه الا هو فانىٰ تؤفكون,joy
سورة المرسلات,77,41,إِنَّ ٱلۡمُتَّقِينَ فِي ظِلَٰلٖ وَعُيُونٖ,ان المتقين في ظلٰل وعيون,joy
سورة الصافات,37,36,وَيَقُولُونَ أَئِنَّا لَتَارِكُوٓاْ ءَالِهَتِنَا لِشَاعِرٖ مَّجۡنُونِۭ,ويقولون ائنا لتاركوا ءالهتنا لشاعر مجنون,anger
سورة النمل,27,51,فَٱنظُرۡ كَيۡفَ كَانَ عَٰقِبَةُ مَكۡرِهِمۡ أَنَّا دَمَّرۡنَٰهُمۡ وَقَوۡمَهُمۡ أَجۡمَعِينَ,فانظر كيف كان عٰقبة مكرهم انا دمرنٰهم وقومهم اجمعين,anger
سورة الرحمٰن,55,41,يُعۡرَفُ ٱلۡمُجۡرِمُونَ بِسِيمَٰهُمۡ فَيُؤۡخَذُ بِٱلنَّوَٰصِي وَٱلۡأَقۡدَامِ,يعرف المجرمون بسيمٰهم فيؤخذ بالنوٰصي والاقدام,sadness
